08879680	33253
10321474	25100
04750164	4881
15291801	30164
00209174	28611
07672421	28605
00679715	33956
05699434	3474
14037011	6057
10435716	17781
04011827	20541
15078050	15486
01531265	1339
06461609	38584
06261744	12961
02000036	21505
10003283	20662
04598965	24782
05050379	7427
05768806	319
02627292	3372
00540946	8687
00288563	16069
14543931	15020
03886053	26930
02614387	38863
01134479	11644
02471203	19924
14877234	34323
08524262	11395
00599434	29786
03599628	1977
04316646	23288
13534954	12094
05809192	5533
07774479	38915
00090708	17467
13273550	25239
01827535	10158
01981702	3471
08515126	17871
02274516	25566
00837133	38566
00757080	26360
05737153	3108
02721160	9304
00437449	14976
12969425	39173
10643727	28647
00301856	9177
08541841	16316
01806271	32712
11068196	18298
10172793	9724
12318965	18664
03560430	26092
06136105	40232
00990392	36953
01015866	10599
00315605	16114
05576950	33220
01265176	21096
14997012	17142
04544979	3150
12966386	3944
00635012	29087
01206218	9521
02313250	20865
00051170	32640
01644542	20092
12766595	10146
05855517	17944
13328357	14997
14160786	40115
04841810	32242
09140569	9161
02170427	18098
05243704	19062
00025728	21149
01874928	24725
06805497	14686
08729452	8382
02429682	39538
01981276	13359
00754280	10192
06778925	35435
06805826	9962
10416828	15761
08782976	30453
00166355	37813
08688247	24976
09891079	27588
06695579	11601
09237076	8705
14550797	14087
14671372	33877
02498987	30090
08593924	31058
00050652	3859
04922338	1196
02153387	4907
01354673	6823
12459629	33451
09238926	10035
08851500	9258
03251533	12349
11650919	27713
04592741	11509
00135578	11486
00109081	7112
15051129	32140
04377057	9311
13500557	36026
01220336	20911
00828559	33120
00312553	24397
02376542	1465
05287090	29019
02338449	14205
06340047	33443
02397266	3216
08857260	30898
08902894	38611
01408253	12582
07452074	24400
00073713	34904
11078982	37261
10925939	22856
00946499	344
04993413	5498
05571713	10259
03791053	4385
01920048	34843
00597532	21608
08898187	18018
00947128	3322
01507134	8625
02397460	19265
02750835	3616
10029068	13794
04868148	32103
01874568	11116
10999584	30878
03191561	28540
00759657	1063
09133500	25514
05780885	5099
01625666	16088
02446660	2499
02292692	25882
09683306	19923
02301072	11956
09128536	37390
09888832	38468
10477077	29950
03051540	5178
03961070	20870
08225581	37728
00615462	10852
01198588	37245
04520170	30737
13024012	10981
02185664	17064
01155090	36844
03595614	30171
04361095	6449
02511633	39661
02014165	3855
10319796	12630
00019613	2872
06947479	29600
13657849	29191
09326662	24558
05872742	19069
00514871	938
00483146	6165
02479896	7603
04872531	16440
01220152	37017
11996251	38135
15022171	38851
13543564	24908
00419908	29710
00457382	35398
13542474	32604
04839676	18508
11941261	29430
01415285	18429
03020927	5239
09988063	18185
09131001	21224
13447361	32725
05775407	14883
05006285	4223
01677913	35381
04242704	13481
11749112	16038
08122009	35374
01711071	23580
13856574	23728
03706415	16941
08849753	3766
00261405	8151
